lat,lon,pond,breeding_pond,distance_to_nearest_breeding_pond
36.8253,-121.72551,Alexander,0,430.019072
36.9299,-121.8266,Buena Vista 1,1,509.3790289
36.9342,-121.8286,Buena Vista 2,1,509.3790289
36.9572,-121.8464,Calabasas,1,208.6263557
36.8612,-121.7193,Carneros 1,1,133.7598071
36.8612,-121.7208,Carneros 2,1,133.7598071
36.8587,-121.7316,Cecil,0,1002.25087
36.7816,-121.7339,Central,1,674.1725765
36.9662,-121.8148,Corralitos,0,1465.269047
36.9235,-121.833,Delaney,1,389.0821453
36.9234,-121.8398,Ellicott,1,382.2162706
36.8545,-121.7319,Hidden,0,1238.01237
36.8263,-121.7286,Hix,0,133.7320934
36.8269,-121.7299,Howell,1,710.2079222
36.8138,-121.7293,Long Valley,1,745.4520426
36.8206,-121.7313,Lower Cattail,1,125.4005816
36.836,-121.7898,McClusky Slough,1,912.7572863
36.9708,-121.8133,Merk,0,1523.332338
36.9711,-121.8307,Millsap 1,1,82.14877817
36.9704,-121.8304,Millsap 2,1,82.14877817
36.7849,-121.7242,North County Parks,1,940.1178527
36.7912,-121.7396,North Moro Cojo,0,1180.603034
36.8576,-121.714,Oxbow,1,127.3270341
36.8537,-121.7297,Pig,0,1150.074853
36.8586,-121.7147,Pond N,1,122.3977912
36.8597,-121.7148,Pond O,1,122.3977912
36.8584,-121.7127,Pond R,1,137.1070221
36.8595,-121.712,Pond S,1,137.1070221
36.9213,-121.8364,Prospect,1,382.2162706
36.9671,-121.8605,Racehorse,1,706.743878
36.8494,-121.7302,Rush,0,1554.842648
36.9586,-121.8709,Seascape 1,1,386.0542259
36.9554,-121.8692,Seascape 2,1,386.0542259
36.9618,-121.8649,Seascape 3,1,641.5937896
36.9802,-121.8567,Shadowmere,0,864.2583058
36.7757,-121.7321,South Moro Cojo,1,674.1725765
36.9555,-121.8454,Suess,1,208.6263557
36.8243,-121.7351,Swimming Pool,0,532.4821468
36.9818,-121.8472,Tucker,1,1889.03152
36.8205,-121.7299,Upper Cattail,1,125.4005816
36.9731,-121.8826,Valencia,1,1191.474501
36.8167,-121.7317,Visitor Center,0,386.5604259
36.964,-121.8755,Willow Canyon,1,725.9154025
36.8324,-121.799,Zmudowski,1,912.7572863
